coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
fe21c858-7d25-4bc7-9fa9-22567c391fbc,https://api.idigbio.org/v2/media/a4b1f42d647b04bcfaacb4a3fcf266ba,2021-03-25T09:51:03.212168+00:00,0.45454545454545453,aac3f92368f236731897745cdcf60268a66dff91,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""d7540872-1c53-48ac-a617-2d0739eadcbd\\media\\https://api.idigbio.org/v2/media/a4b1f42d647b04bcfaacb4a3fcf266ba"", ""urn:uuid:857b9ca0-918b-4601-b389-c4c56fe1db95""]","[""fe21c858-7d25-4bc7-9fa9-22567c391fbc""]",d7540872-1c53-48ac-a617-2d0739eadcbd,BY-NC-SA,,,50429b7a-3d58-4b77-9458-5230526690a5,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
4fe76741-0212-4ee9-a931-633aced5caf0,https://odu-herbarium-project.s3.amazonaws.com/ODU00024780.jpg,2020-11-06T22:04:00.624719+00:00,0.45454545454545453,48029161aff78fdab8dacc40592a0d0f1420f413,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""urn:uuid:0b1a61a9-ff60-4de7-9eba-9ef771a3340e"", ""0038ce2e-43bb-4f70-8dd6-dca34efd3fca\\media\\https://odu-herbarium-project.s3.amazonaws.com/odu00024780.jpg""]","[""4fe76741-0212-4ee9-a931-633aced5caf0""]",0038ce2e-43bb-4f70-8dd6-dca34efd3fca,CC0,,,51813eec-8235-4413-b575-5898e0c11fa4,,http://creativecommons.org/publicdomain/zero/1.0/,,
170568ca-ae5c-401a-a4b5-45efeebd2b08,https://bisque.cyverse.org/image_service/image/00-Vv8FhwV6VhF2qWmLduySNH?resize=4000&format=jpeg,2020-10-14T13:41:04.379841+00:00,0.45454545454545453,eacc5d69931c1c7ce7fc64d478de03c69249ec20,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""d53132e6-7997-4850-8607-4fec5a3f9c3f\\media\\https://bisque.cyverse.org/image_service/image/00-vv8fhwv6vhf2qwmlduysnh?resize=4000&format=jpeg"", ""urn:uuid:483aad47-be4a-47eb-a52d-c0dc1b8d37fc""]","[""170568ca-ae5c-401a-a4b5-45efeebd2b08""]",d53132e6-7997-4850-8607-4fec5a3f9c3f,CC0,,,20e78c75-dc90-4d0d-afa7-5711e51e5f9d,,http://creativecommons.org/publicdomain/zero/1.0/,,
27408dc6-e200-4cba-a5e0-b732d9cd28ab,https://bisque.cyverse.org/image_service/image/00-7wad44s2oBz2ow9NRxXtn3?resize=4000&format=jpeg,2020-10-14T13:41:04.379841+00:00,0.45454545454545453,abeaa3b30a95ca873b3d2a741a682f5a0205839c,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""d53132e6-7997-4850-8607-4fec5a3f9c3f\\media\\https://bisque.cyverse.org/image_service/image/00-7wad44s2obz2ow9nrxxtn3?resize=4000&format=jpeg"", ""urn:uuid:81e3b073-65c0-4f76-9e45-65d9c241522f""]","[""27408dc6-e200-4cba-a5e0-b732d9cd28ab""]",d53132e6-7997-4850-8607-4fec5a3f9c3f,CC0,,,c5065430-8fcc-47fe-bf4e-a8de3713df42,,http://creativecommons.org/publicdomain/zero/1.0/,,
78205524-38f4-4e17-a4ba-483c4b6eafe4,https://api.idigbio.org/v2/media/fd7f9a001d52ee9acf6cf0df9d312b47,2021-03-25T09:51:03.212168+00:00,0.45454545454545453,f41285d747ac59e8117452cc25b8d32e0bea2ea2,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""d7540872-1c53-48ac-a617-2d0739eadcbd\\media\\https://api.idigbio.org/v2/media/fd7f9a001d52ee9acf6cf0df9d312b47"", ""urn:uuid:cd8fd543-6e81-4a3d-8129-cd27cad7531e""]","[""78205524-38f4-4e17-a4ba-483c4b6eafe4""]",d7540872-1c53-48ac-a617-2d0739eadcbd,BY-NC-SA,,,59ec2331-fd76-4ca6-a93b-01d79ef151ac,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
17092875-670c-47d3-9b59-8272947363bb,https://bisque.cyverse.org/image_service/image/00-jhjMM9K6ndvWUXxRunE9ra/resize:4000/format:jpeg,2020-11-06T21:53:41.756459+00:00,0.45454545454545453,193211e1d1efde2602ae2160de4b09cb63ac218f,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""6f470382-cb0b-4634-a796-2248bfa97fdc\\media\\https://bisque.cyverse.org/image_service/image/00-jhjmm9k6ndvwuxxrune9ra/resize:4000/format:jpeg"", ""urn:uuid:49193476-1cea-4e93-9c48-ead7cfbdb4e5""]","[""17092875-670c-47d3-9b59-8272947363bb""]",6f470382-cb0b-4634-a796-2248bfa97fdc,CC0,,,b164da91-2f73-43ce-a519-193a2ce9eccd,,http://creativecommons.org/publicdomain/zero/1.0/,,
18cb0294-e212-4308-bf7d-76f0b311a13e,https://bisque.cyverse.org/image_service/image/00-Afe9dgAMpE4j6XJT2kuBAj?resize=4000&format=jpeg,2020-10-14T13:52:10.466652+00:00,0.45454545454545453,3592b07fea6fb116073005c2c92347c97358c0af,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc/3.0/88x31.png,images,,"[""urn:uuid:fa4f8c19-cc38-4a9b-bc8b-43713e386238"", ""beab5209-9628-4d4d-851e-2bc9bb1a0105\\media\\https://bisque.cyverse.org/image_service/image/00-afe9dgampe4j6xjt2kubaj?resize=4000&format=jpeg""]","[""18cb0294-e212-4308-bf7d-76f0b311a13e""]",beab5209-9628-4d4d-851e-2bc9bb1a0105,BY-NC,,,b09c6e91-2103-4257-928e-e5b218f890ad,,http://creativecommons.org/licenses/by-nc/3.0/,,
e8d2b286-4220-4e06-8f6d-dbd76e261446,http://www.tropicos.org/ImageDownload.aspx?imageid=100123350,2016-01-26T12:52:44.194597+00:00,0.45454545454545453,c2555150c655e3b7ef501006628860b12c0f14f2,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc-sa/3.0/88x31.png,images,,"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\media\\http://www.tropicos.org/imagedownload.aspx?imageid=100123350""]","[""e8d2b286-4220-4e06-8f6d-dbd76e261446""]",5386d272-06c6-4027-b5d5-d588c2afe5e5,BY-NC-SA,,,d5b497ef-0af4-4c03-a670-b868b93ca77d,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,
a84befb6-40e8-4eb6-b06e-880276c32a06,https://bisque.cyverse.org/image_service/image/00-QWGqNtVqp7ijxvcqGqwKVj/resize:4000/format:jpeg,2020-11-06T21:53:41.756459+00:00,0.45454545454545453,2bfa88ea908f20f4c3f8fe3c6111899ef79fb548,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""urn:uuid:cd07701b-4424-49a9-a90f-f67bbd019cec"", ""6f470382-cb0b-4634-a796-2248bfa97fdc\\media\\https://bisque.cyverse.org/image_service/image/00-qwgqntvqp7ijxvcqgqwkvj/resize:4000/format:jpeg""]","[""a84befb6-40e8-4eb6-b06e-880276c32a06""]",6f470382-cb0b-4634-a796-2248bfa97fdc,CC0,,,0107bbe5-d33b-4fb4-b8b4-dd31a69b6828,,http://creativecommons.org/publicdomain/zero/1.0/,,
a6f13d1a-b5ce-47cc-b2e5-2479df5d6792,http://www.tropicos.org/ImageDownload.aspx?imageid=100123344,2016-01-26T12:52:44.194597+00:00,0.45454545454545453,9af3129c343a8e2829185f6ed599d2bc67faed04,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/l/by-nc-sa/3.0/88x31.png,images,,"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\media\\http://www.tropicos.org/imagedownload.aspx?imageid=100123344""]","[""a6f13d1a-b5ce-47cc-b2e5-2479df5d6792""]",5386d272-06c6-4027-b5d5-d588c2afe5e5,BY-NC-SA,,,581a96e4-c0e0-47bb-9e5b-19ea6373b9d0,,http://creativecommons.org/licenses/by-nc-sa/3.0/,,
