,file,Exotic,taxonomic_identification,time,Family,data.type
47,19e2288b-87ea-4941-9486-6c423a9e9412  1964-09-07T00:00:00+00:00.jpg,N,O,16.4805745,Asteraceae,herb
48,1a21f6e4-a5cf-4581-9d04-9db4fffaac8d  1965-11-06T00:00:00+00:00.jpg,N,1,73.34244007,Asteraceae,herb
49,1b71a214-3d5b-499f-8c50-99016771953a  1975-08-05T00:00:00+00:00.jpg,N,1,4.565259755,Asteraceae,herb
50,1b82899f-b7ad-412c-ac88-5f4c1be3b8d3  1950-04-10T00:00:00+00:00.jpg,N,1,112.8885467,Asteraceae,herb
51,1ba1296f-04e0-4662-b39d-0f232d25a8d0  1969-08-01T00:00:00+00:00.jpg,N,1,29.0226674,Asteraceae,herb
52,1c14f209-3e45-49f5-b243-67ac590c7c2b  2010-10-19T00:00:00+00:00.jpg,N,1,27.65413844,Asteraceae,herb
53,1ccd6895-d8f0-4aec-bd54-641fce0cc723  1993-06-27T00:00:00+00:00.jpg,N,1,86.25509346,Asteraceae,herb
54,1d8d7078-86fc-4286-899e-ff5221fe188b  1967-10-07T00:00:00+00:00.jpg,N,O,27.20448143,Asteraceae,herb
55,1d9f9a9d-1000-451f-99f3-597f7a9a8a23  1967-08-19T00:00:00+00:00.jpg,N,1,1848.804042,Asteraceae,herb
56,1f75e590-e646-4ab4-9518-98a7ef1dc9b5  2012-10-23T00:00:00+00:00.jpg,N,1,11.31320867,Asteraceae,herb
57,1fe01e30-fef0-4dce-a442-b53608cabd02  1970-07-03T00:00:00+00:00.jpg,N,1,4.24959821,Asteraceae,herb
58,21d30c00-e5bb-4820-953e-0f2d0c16f97b  1956-03-16T00:00:00+00:00.jpg,N,1,98.57841714,Asteraceae,herb
59,226b2b91-6680-43f7-bc08-67f20c939e55  1964-07-15T00:00:00+00:00.jpg,N,1,139.8798348,Asteraceae,herb
60,22c16ec8-4b05-49ad-9aba-ef38ac728b4b  1979-10-06T00:00:00+00:00.jpg,N,1,4.055354353,Asteraceae,herb
61,24d4adf0-b462-4e3f-9d40-8f378fad1c2f  1967-05-19T00:00:00+00:00.jpg,N,1,7.587948314,Asteraceae,herb
62,24f87f19-4d99-4b92-b449-11dce8aebeb3  2010-10-26T00:00:00+00:00.jpg,N,0,644.0748551,Asteraceae,herb
63,2538c327-2e37-4655-b9ac-858b3c526ea9  1951-05-06T00:00:00+00:00.jpg,N,1,161.34209,Asteraceae,herb
64,26d0826a-01e5-49d4-9c76-ffe5c16ac5b0  1953-08-09T00:00:00+00:00.jpg,N,1,455.2369588,Asteraceae,herb
65,26e09253-2c33-44db-86c8-43663f34c614  1992-08-01T00:00:00+00:00.jpg,N,1,6.334397877,Asteraceae,herb
66,2798df5d-2355-441a-9e2c-88c5626b2ee9  2005-09-30T00:00:00+00:00.jpg,N,1,8.245841434,Asteraceae,herb
