id,observed_on,quality_grade,url,image_url,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
11011775,2018-04-16,research,https://www.inaturalist.org/observations/11011775,https://static.inaturalist.org/photos/15523322/medium.jpg,false,3,"Duke Forest Korstian Division, Durham, NC, US",35.981408679,-79.0168559086,10,10,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
11028672,2018-04-13,research,https://www.inaturalist.org/observations/11028672,https://static.inaturalist.org/photos/15554918/medium.jpg,false,3,"Henry Horton State Park Golf Course, Lewisburg, TN, US",35.5841926097,-86.6960322687,2811,2811,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
11034106,2018-04-16,research,https://www.inaturalist.org/observations/11034106,https://static.inaturalist.org/photos/15564259/medium.jpg,false,,"Homestead, Miami-Dade, Florida, United States",25.462025,-80.4434944444,,,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
11034109,2018-04-16,research,https://www.inaturalist.org/observations/11034109,https://static.inaturalist.org/photos/15564264/medium.jpg,false,,"Homestead, Miami-Dade, Florida, United States",25.4620916667,-80.4441694444,,,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
11089100,2018-04-17,research,https://www.inaturalist.org/observations/11089100,https://static.inaturalist.org/photos/15659445/medium.jpg,false,3,"Sevier County, US-TN, US",35.7006214516,-83.5161010536,1965,1965,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
11096761,2018-04-16,research,https://www.inaturalist.org/observations/11096761,https://inaturalist-open-data.s3.amazonaws.com/photos/15674957/medium.jpg,false,3,"Silsbee, TX  77656, Silsbee, TX, US",30.2452833333,-94.1542055,5,5,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
11149430,2018-04-18,research,https://www.inaturalist.org/observations/11149430,https://static.inaturalist.org/photos/15777351/medium.jpg,false,3,"Jellico, TN  37762, Jellico, TN, US",36.5890774572,-84.106123298,22,22,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
11177066,2018-04-19,research,https://www.inaturalist.org/observations/11177066,https://static.inaturalist.org/photos/15832163/medium.jpg,false,3,"Ranch Rd, Mims, FL, US",28.6145133333,-80.9308466667,5,5,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
11177234,2018-04-19,research,https://www.inaturalist.org/observations/11177234,https://static.inaturalist.org/photos/15832500/medium.jpg,false,3,"Ranch Rd, Mims, FL, US",28.614595,-80.9307116667,5,5,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
11188124,2018-04-19,research,https://www.inaturalist.org/observations/11188124,https://inaturalist-open-data.s3.amazonaws.com/photos/15853603/medium.jpg,false,3,"Kisatchie National Forest, Woodworth, LA, US",31.1276138333,-92.5026633333,5,5,,,false,,,Lesser Centaury,Centaurium pulchellum,Lesser Centaury,Plantae,76217
